1417,﻿Cula Cuțui,Broșteni, Mehedinţi,Stronghold Cutui,Broșteni, Mehedinţi
2227,Comoara Valchitran,Valchitran, Pleven,Treasure Valchitran,Valchitran, Pleven
2228,Muzeul Asociației Vânătorii și Pescuitului,Pleven, Pleven,Hunting and Fishing Museum Association,Pleven, Pleven
2229,Podul Vechi Peste Râul Vit,Pleven, Pleven,Old Bridge Over River Vit,Pleven, Pleven
2230,Centrul Comunitar Georgi Partsalev,Pleven, Pleven,Georgi Partsalev Community Center,Pleven, Pleven
2231,Parcul Shavarna,Levski, Pleven,Park Shavarna,Levski, Pleven
2232,Vechiul Pod Roman de Piatră,Balgarene, Pleven,The Old Roman Stone Bridge,Balgarene, Pleven
2233,Canalele Antice Garlata,Belene, Pleven,Garlata Ancient Canals,Belene, Pleven
2234,Piatra dreaptă de lângă satul Petokladentsi,Petokladentsi, Pleven,Stone right next to the village Petokladentsi,Petokladentsi, Pleven
2235,Memorialul Papei Ioan Paul II,Belene, Pleven,Memoirs of Pope John Paul II,Belene, Pleven
2236,Muzeul și Parcul General Lavrov,Gorni Dubnik, Pleven,Museum and Park General Lavrov,Gorni Dubnik, Pleven
2237,Monumentul Victoriei,Nikopol, Pleven,Victory Monument,Nikopol, Pleven
2238,Cetatea lui Shishman,Pleven,City of Shishman,Pleven
2239,Parcul Shishman,Pleven,Park Shishman,Pleven
2477,Monumentul Maica Bulgaria,Veliko Tarnovo, Veliko Tarnovo,Mother Bulgaria Monument,Veliko Tarnovo, Veliko Tarnovo
2479,Monumentul Asenevtsi,Veliko Tarnovo, Veliko Tarnovo,Monument Asenevtsi,Veliko Tarnovo, Veliko Tarnovo
2480,Casa-Muzeu Petko Slaveykov,Veliko Tarnovo, Veliko Tarnovo,Petko Slaveykov House-Museum,Veliko Tarnovo, Veliko Tarnovo
2483,Hanul lui Hadji Nikoli,Veliko Tarnovo, Veliko Tarnovo,Hadji Nikoli's Inn,Veliko Tarnovo, Veliko Tarnovo
2485,Bazarul din Samovodene,Veliko Tarnovo, Veliko Tarnovo,Bazaar Samovodene,Veliko Tarnovo, Veliko Tarnovo
2486,Casa Sarafkata,Veliko Tarnovo, Veliko Tarnovo,House Sarafkata,Veliko Tarnovo, Veliko Tarnovo
2488,Muzeul Renașterii și Adunării Constituante,Veliko Tarnovo, Veliko Tarnovo,Renaissance and Constituent Assembly Museum,Veliko Tarnovo, Veliko Tarnovo
2489,Muzeul Arheologic,Veliko Tarnovo, Veliko Tarnovo,Archaeological Museum,Veliko Tarnovo, Veliko Tarnovo
2493,Trapezitsa (Cetate),Veliko Tarnovo, Veliko Tarnovo,Trapezitsa (Fortress),Veliko Tarnovo, Veliko Tarnovo
2495,Muzeul Casa lui Emilian Stanev,Veliko Tarnovo, Veliko Tarnovo,Emilian Stanev's House Museum,Veliko Tarnovo, Veliko Tarnovo
2497,Muzeul Închisoare,Veliko Tarnovo, Veliko Tarnovo,Prison Museum,Veliko Tarnovo, Veliko Tarnovo
2498,Muzeul de Istorie Modernă și Contemporană,Veliko Tarnovo, Veliko Tarnovo,Museum of Modern and Contemporary History,Veliko Tarnovo, Veliko Tarnovo
2499,Muzeul de Istorie,Veliko Tarnovo, Veliko Tarnovo,History Museum,Veliko Tarnovo, Veliko Tarnovo
2500,Muzeul Sokal,Veliko Tarnovo, Veliko Tarnovo,Sokal Museum,Veliko Tarnovo, Veliko Tarnovo
2502,Podul Episcopului,Veliko Tarnovo, Veliko Tarnovo,Bishop's Bridge,Veliko Tarnovo, Veliko Tarnovo
2504,Cetatea Tsarevets,Veliko Tarnovo, Veliko Tarnovo,Tsarevets Fortress,Veliko Tarnovo, Veliko Tarnovo
2505,Turnul Baldwin,Veliko Tarnovo, Veliko Tarnovo,Baldwin Tower,Veliko Tarnovo, Veliko Tarnovo
2506,Stânca Frontală,Tsarevets, Veliko Tarnovo,Frontal Rock,Tsarevets, Veliko Tarnovo
2512,Fântâna ”Micul Lako”,Arbanasi, Veliko Tarnovo,Fountain “Little Lako”,Arbanasi, Veliko Tarnovo
2513,Casa-Muzeu Konstantsaliev,Arbanasi, Veliko Tarnovo,Konstantsaliev House-Museu,Arbanasi, Veliko Tarnovo
2521,Cetatea din Gradiște,Mindya, Veliko Tarnovo,Fortress Gradistea,Mindya, Veliko Tarnovo
2527,Muzeul de Istorie,Gorna Oryahovitsa, Veliko Tarnovo,History Museum,Gorna Oryahovitsa, Veliko Tarnovo
2528,Muzeu de Istorie,Kilifarevo, Veliko Tarnovo,Museum of History,Kilifarevo, Veliko Tarnovo
2529,Turnul cu Ceas,Kilifarevo, Veliko Tarnovo,Clock Tower,Kilifarevo, Veliko Tarnovo
2530,Muzeul de Grădinărit,Lyaskovets, Veliko Tarnovo,Museum of Gardening,Lyaskovets, Veliko Tarnovo
2532,Cetatea Rahovets,Gorna Oryahovitsa, Veliko Tarnovo,Fortress Rahovets,Gorna Oryahovitsa, Veliko Tarnovo
2540,Cetatea Orașul,Kilifarevo, Veliko Tarnovo,Fortress Town,Kilifarevo, Veliko Tarnovo
2541,Nikopolis ad Istrum (Oraș Antic),Nikyup, Veliko Tarnovo,Nikopolis ad Istrum (Ancient City),Nikyup, Veliko Tarnovo
2547,Muzeul Etnografic,Ditchin, Veliko Tarnovo,Ethnographic Museum,Ditchin, Veliko Tarnovo
2548,Casa-Muzeu Asen Raztsvetnikov,Draganovo, Veliko Tarnovo,Asen Raztsvetnikov House-Museum,Draganovo, Veliko Tarnovo
2549,Daskalolivnitsa (Complex Istoric-Arhitectural),Elena, Veliko Tarnovo,Daskalolivnitsa (Historical-Architectural Complex),Elena, Veliko Tarnovo
2551,Casa-Muzeu Ilarion Makariopolski,Elena, Veliko Tarnovo,Ilarion Makariopolski House-Museum,Elena, Veliko Tarnovo
2552,Casa-Muzeu Rayko Daskalov,Byala Cherkva, Veliko Tarnovo,Rayko Daskalov House-Museum,Byala Cherkva, Veliko Tarnovo
2553,Muzeul Etnografic,Byala Cherkva, Veliko Tarnovo,Ethnographic Museum,Byala Cherkva, Veliko Tarnovo
2554,Casa-Muzeu Filip Totyu,Voneshta Voda, Veliko Tarnovo,Filip Totyu House-Museum,Voneshta Voda, Veliko Tarnovo
2558,Muzeul de Istorie,Pavlikeni, Veliko Tarnovo,History Museum,Pavlikeni, Veliko Tarnovo
2562,Muzeul de Paleontologie,Elena, Veliko Tarnovo,Museum of Paleontology,Elena, Veliko Tarnovo
2564,Centrul Antic de Ceramică din Pavlikeni,Pavlikeni, Veliko Tarnovo,Ancient Ceramics Center in Pavlikeni,Pavlikeni, Veliko Tarnovo
2568,Rezervația Istorică Tekir Dere,Svishtov, Veliko Tarnovo,Tekir Dere Historical Reserve,Svishtov, Veliko Tarnovo
2569,Cetatea Antică Nove,Svishtov, Veliko Tarnovo,Ancient Fortress Nove,Svishtov, Veliko Tarnovo
2571,Casa-Muzeu a lui Aleko Konstantinov,Svishtov, Veliko Tarnovo,Aleko Konstantinov's House-Museum,Svishtov, Veliko Tarnovo
2573,Turnul cu Ceas,Svishtov, Veliko Tarnovo,The Clock Tower,Svishtov, Veliko Tarnovo
2574,Hanul lui Kamburov,Elena, Veliko Tarnovo,The Kamburov's Inn,Elena, Veliko Tarnovo
2576,Casa Popnikolov,Elena, Veliko Tarnovo,House Popnikolov,Elena, Veliko Tarnovo
2577,Muzeul de Istorie,Gorna Oryahovitsa, Veliko Tarnovo,History Museum,Gorna Oryahovitsa, Veliko Tarnovo
2578,Muzeul Etnografic,Dolna Oriahovitsa, Veliko Tarnovo,Ethnographic Museum,Dolna Oriahovitsa, Veliko Tarnovo
2580,Turnul cu Ceas,Elena, Veliko Tarnovo,The Clock Tower,Elena, Veliko Tarnovo
2581,Casa lui Yurdan Hadzhipetkov,Elena, Veliko Tarnovo,House of Yurdan Hadzhipetkov,Elena, Veliko Tarnovo
2294,Monumentul Alyosha,Ruse, Ruse,Alyosha Monument,Ruse, Ruse
2295,Orașul Medieval Cherven,Cherven, Ruse,Medieval Town Cherven,Cherven, Ruse
2299,Podul lui Kolyo Ficheto,Byala, Ruse,Bridge of Kolyo Ficheto,Byala, Ruse
2303,Gara Centrală,Ruse, Ruse,Central Railway Station,Ruse, Ruse
2307,Turnul cu Ceas al Orașului,Byala, Ruse,Town's Tower Clock,Byala, Ruse
2309,Palatul de Justiție,Ruse, Ruse,Justice Palace,Ruse, Ruse
2315,Sexaginta Prista,Ruse, Ruse,Sexaginta Prista,Ruse, Ruse
2316,Cetatea Scaidava,Batin, Ruse,Fortress Scaidava,Batin, Ruse
2317,Podul Prieteniei - Podul Dunării,Ruse, Ruse,Friendship Bridge - Danube Bridge,Ruse, Ruse
2318,Așezarea de lângă satul Pisanets,Pisanets, Ruse,Settlement near the village Pisanets,Pisanets, Ruse
2322,Mormintele cailor de lângă satul Nisovo,Nisovo, Ruse,Horses graves near the village Nisovo,Nisovo, Ruse
2323,Casa-Muzeu „Filip Totyu”,Dve Mogili, Ruse,House-Museum “Filip Totyu”,Dve Mogili, Ruse
2326,Kyontu Kapu,Ruse, Ruse,Kyontu Kapu,Ruse, Ruse
2327,Levent Tabia,Ruse, Ruse,Levent Tabia,Ruse, Ruse
2328,Muzeul Războiului de Eliberare,Byala, Ruse,Liberation War Museum,Byala, Ruse
2331,Monumentul lui Ivan Vedar,Ruse, Ruse,Monument of Ivan Vedar,Ruse, Ruse
2332,Monumentul lui Stefan Karadzha,Ruse, Ruse,Monument of Stefan Karadzha,Ruse, Ruse
2335,Monumentul lui Elias Canetti,Ruse, Ruse,Monument Elias Canetti,Ruse, Ruse
2336,Monumentul Baba Tonka,Ruse, Ruse,Monument Baba Tonka,Ruse, Ruse
2338,Monumentul Cetei lui Hadzhi Dimitar și Stefan Karadzha,Novgrad, Ruse,Monument Pack of Hadzhi Dimitar and Stefan Karadzha,Novgrad, Ruse
2339,Monumentul lui Angel Kanchev,Ruse, Ruse,Monument Angel Kanchev,Ruse, Ruse
2340,Monumentul lui Panayot Volov,Byala, Ruse,Monument Panayot Volov,Byala, Ruse
2341,Monumentul lui Lenin,Novgrad, Ruse,Monument Lenin,Novgrad, Ruse
2342,Monumentul Marinarului,Ruse, Ruse,Sailor Monument,Ruse, Ruse
2343,Monumentul celor Căzuți în Războiul Bulgar-Sârb,Ruse, Ruse,Monument of the Fallen in Bulgarian-Serbian War,Ruse, Ruse
2344,Muzeul „Baba Tonka“,Ruse, Ruse,Museum „Baba Tonka“,Ruse, Ruse
2345,Muzeul Național al Transporturilor,Ruse, Ruse,National Museum of Transport,Ruse, Ruse
2346,Muzeul Vieții Urbane,Ruse, Ruse,Urban Life Museum,Ruse, Ruse
2347,Muzeul “Zahari Stoyanov”,Ruse, Ruse,Museum “Zahari Stoyanov”,Ruse, Ruse
2348,Casa Nașterii lui Elias Canetti,Ruse, Ruse,Elias Canetti's Birth House,Ruse, Ruse
2353,Panteonul Renașterii Naționale,Ruse, Ruse,Pantheon of National Revival,Ruse, Ruse
2356,Dohodno Zdanie (Casa Profitului),Ruse, Ruse,Dohodno Zdanie (House of Profit),Ruse, Ruse
2359,Muzeul Regional de Istorie,Ruse, Ruse,Regional Museum of History,Ruse, Ruse
2360,Biblioteca Regională Lyuben Karavelov,Ruse, Ruse,Lyuben Karavelov Regional Library,Ruse, Ruse
2368,Fluviul Dunărea,Ruse,Danube River,Ruse
2369,Turnul Flotei,Ruse, Ruse,Fleet's Tower,Ruse, Ruse
2370,Așezarea Antică Yatrus,Krivina, Ruse,Ancient Settlement Yatrus,Krivina, Ruse
2377,Monumentul Rus al Victoriei,Mechka, Ruse,Russian Victory Monument,Mechka, Ruse
2379,Arena Bulstrad Ruse,Ruse, Ruse,Arena Bulstrad Ruse,Ruse, Ruse
2385,Mormântul Trac,Borovo, Ruse,Thracian Tomb,Borovo, Ruse
2386,Mormântul lui Zahari Stoyanov,Ruse, Ruse,Zahari Stoyanov's Grave,Ruse, Ruse
2388,Tsarev Kamak,Ruse, Ruse,Tsarev Kamaka,Ruse, Ruse
2390,Peștera Vodna,Tabachka, Ruse,Cave Vodna,Tabachka, Ruse
2394,Cetatea Medjid Tabia,Silistra, Silistra,Medjid Tabia Fortress,Silistra, Silistra
2395,Muzeul Regional de Istorie,Silistra, Silistra,Regional Museum of History,Silistra, Silistra
2396,Galeria de Arta,Silistra, Silistra,Art Gallery,Silistra, Silistra
2397,Muzeul Etnografic din Silistra,Silistra, Silistra,Ethnographic Museum in Silistra,Silistra, Silistra
2399,Mormântul Roman,Silistra, Silistra,Roman Tomb,Silistra, Silistra
2400,Cetatea Durostorum,Silistra, Silistra,Fortress Durostorum,Silistra, Silistra
2402,Teatrul Dramatic Sava Dobroplodni,Silistra, Silistra,Dramatic Theater Sava Dobroplodni,Silistra, Silistra
2403,Grădina Dunării,Silistra, Silistra,Danube's Garden,Silistra, Silistra
2404,Movilă de Țară în Parcul Setea,Dulovo, Silistra,Setea Park Country Mound,Dulovo, Silistra
2406,Casa de Dobrogea cu Expoziție Etnografică,Alfatar, Silistra,Dobrogea House with Ethnographic Exhibition,Alfatar, Silistra
2407,Rezervația Arhitecturală ”Cartier de pescuit”,Tutrakan, Silistra,Architectural Reserve “Fishing Neighborhood”,Tutrakan, Silistra
2408,Muzeul Etnografic pentru Pescuit pe Dunăre,Tutrakan, Silistra,Fishing on Danube Ethnographic Museum,Tutrakan, Silistra
2409,Galeria de Arta,Tutrakan, Silistra,Art Gallery,Tutrakan, Silistra
2410,Muzeul de Istorie,Tutrakan, Silistra,History Museum,Tutrakan, Silistra
2411,Rezervația Arheologică “Castelul Antic Transmariska”,Tutrakan, Silistra,“Ancient Castle Transmariska” Archaeological Reserve,Tutrakan, Silistra
2412,Complex Memorial Cimitirul Militar anul 1916,Tutrakan, Silistra,Military Cemetery Memorial Complex 1916,Tutrakan, Silistra
2418,Muzeul Comunismului,Garvan, Silistra,Museum of Communism,Garvan, Silistra
2419,Casa Dobrogeană cu Expoziție Etnografică,Garvan, Silistra,Dobrudjan House with Ethnographic Exhibition,Garvan, Silistra
2425,Sanctuar Traco-Roman Badzhaliyata,Strelkovo, Silistra,Traco-Roman Sanctuary Badzhaliyata,Strelkovo, Silistra
2427,Menhir,Golesh, Silistra,Menhir,Golesh, Silistra
2428,Rezervația Biosferei ”Srebarna”,Strebarna, Silistra,Biosphere Reserve ”Srebarna”,Strebarna, Silistra
2429,Monumentul Detașamentului Liderului Tanio,Pozharevo, Silistra,Monument of Leader Tanio Detachment,Pozharevo, Silistra
2431,Monumentul Detașamentului lui Panayot Hitov,Dunavets, Silistra,Monument Panayot Hitov's Detachment,Dunavets, Silistra
2433,Fântâna Pelikovo din Dunavets,Tutrakan, Silistra,Fountain Pelikovo of Dunavets,Tutrakan, Silistra
2448,Festivalul de Mămăligă din Satul Nova Cherna,Nova Cherna, Silistra,Samp Festival in Nova Cherna Village,Nova Cherna, Silistra
2451,Muzeul de Istorie din Satul Zafirovo,Glavinitsa, Silistra,History Museum in Village Zafirovo,Glavinitsa, Silistra
2460,Vila Urbană și Palatul Episcopilor din Durostorum,Silistra, Silistra,Urban Vila and Bishops Palace in Durostorum,Silistra, Silistra
2461,Bazilica Patriarhală din Drustur,Silistra, Silistra,Patriarchal Basilica of Drustur,Silistra, Silistra
2462,Zidul Sudic al Fortăreții Durostorum,Drustar, Silistra,Southern Wall of the Fortress Durostorum,Drustar, Silistra
2463,Valea Sacră de Zalmoxis,Strelkovo, Silistra,Sacred Valley of Zalmoxis,Strelkovo, Silistra
2464,Mânăstirile de Roci în Apropierea Orașului Durostorum,Golesh, Silistra,Monasteries of Rocks Near the Town Durostorum,Golesh, Silistra
2465,Fântână Istorică Kaynardzha,Kaynardzha, Silistra,Historical Fountain Kaynardzha,Kaynardzha, Silistra
2466,Zona Istorică Ayazmoto,Ruyno, Silistra,Historical Area Ayazmoto,Ruyno, Silistra
2467,Cetatea Medievală Kartal Kale,Ruyno, Silistra,Kartal Kale Medieval Fortress,Ruyno, Silistra
2469,Muzeul de Istorie Dulovo,Dulovo, Silistra,Dulovo History Museum,Dulovo, Silistra
2470,Cetatea Medievală în Apropiere de Satul Skala,Skala, Silistra,Medieval Fortress near Village Skala,Skala, Silistra
2471,Cetatea Medievală în Apropiere de Okorsh,Okorsh, Silistra,Medieval Fortress near Okorsh,Okorsh, Silistra
2472,Case Vechi în Satul Varbino,Varbino, Silistra,Old Houses in the Village Varbino,Varbino, Silistra
2473,Coloana din Marmură cu o Inscripție în Arabă,Grancharovo, Silistra,Marble Column with an Inscription in Arabic,Grancharovo, Silistra
2001,Muzeul Etnografic,Balchik, Dobritch,Ethnographic Museum,Balchik, Dobritch
2002,Muzeul de istorie,Balchik, Dobritch,History Museum,Balchik, Dobritch
2003,Galeria de Arta Balchik,Balchik, Dobritch,Art Gallery Balchik,Balchik, Dobritch
2005,Complex Arhitectural de Parc Castelul,Balchik, Dobritch,Architectural Park Complex Castle,Balchik, Dobritch
2018,Necropola de la Durankulak,Dobritch,Necropolis of Durankulak,Dobritch
2021,Muzeul Etnografic în Aer Liber,Dobrich, Dobritch,Open Air Ethnographic Museum,Dobrich, Dobritch
2023,Monumentul Hanului Asparuh,Dobrich, Dobritch,The Inn Asparuh Monument,Dobrich, Dobritch
2024,Monumentul Dobrotitsa,Dobrich, Dobritch,Monument Dobrotitsa,Dobrich, Dobritch
2025,Turnul cu Ceas,Dobrich, Dobritch,The Clock Tower,Dobrich, Dobritch
2026,Monumentul-Osuar,Dobrich, Dobritch,Monument-Ossuary,Dobrich, Dobritch
2028,Casa-Muzeu Yordan Yovkov,Dobrich, Dobritch,Yordan Yovkov House-Museum,Dobrich, Dobritch
2029,Monumentul-Casa Yordan Yovkov,Dobrich, Dobritch,Yordan Yovkov House Monument,,Dobrich, Dobritch
2030,Muzeul de Natură şi Istorie,Dobrich, Dobritch,Museum of Nature and History,Dobrich, Dobritch
2031,Muzeul Regional de Istorie,Dobrich, Dobritch,Regional Museum of History,Dobrich, Dobritch
2035,Muzeul Cimitir Militar,Dobrich, Dobritch,Military Cemetery Museum,Dobrich, Dobritch
2036,Tekke Ak Yazala Baba - Sf. Atanasie,Obrochiste, Dobritch,Tekke Ak Yazala Baba - St. Athanasius,Obrochiste, Dobritch
2038,Cișmelele Vechi,Kavarna, Dobritch,Old Fountains,Kavarna, Dobritch
2039,Casa de Etnografie,Kavarna, Dobritch,House of Ethnography,Kavarna, Dobritch
2040,Muzeul de Istorie,Kavarna, Dobritch,History Museum,Kavarna, Dobritch
2043,Expozitia Dobrogea şi Marea,Kavarna, Dobritch,Dobrogea and Sea Exhibition,Kavarna, Dobritch
2047,Farul de pe Capul Shabla,Shabla, Dobritch,Lighthouse on Cape Shabla,Shabla, Dobritch
2050,Muzeul de Istorie,Tervel, Dobritch,History Museum,Tervel, Dobritch
2055,Cetatea Zaldapa,Abrit-Dobrin, Dobritch,Fortress Zaldapa,Abrit-Dobrin, Dobritch
2057,Muzeul de Istorie,General Toshevo, Dobritch,History Museum,General Toshevo, Dobritch
2060,Cetatea Kraneia,Kranevo, Dobritch,Fortress Kraneia,Kranevo, Dobritch
2061,Monumentul Revolta din Durankulak,Durankulak, Dobritch,Monument Durankulak Revolt,Durankulak, Dobritch
2067,Casa de Etnografie,Dobrich, Dobritch,House of Ethnography,Dobrich, Dobritch
2070,Muzeul Dorei Gabe,Dabovik, Dobritch,Dora Gabe Museum,Dabovik, Dobritch
2072,Schitul Rupestru „Valchanova staia”,Brestnitsa, Dobritch,Hermitage Cave “Valchanova station”,Brestnitsa, Dobritch
2075,Muzeul de Istorie Moderna si Contemporana,Dobrich, Dobritch,Museum of Modern and Contemporary History,Dobrich, Dobritch
2081,Cetatea Antica si Medievala din cart. Orizont,Balchik, Dobritch,Ancient and Medieval Fortress in Orizont,Balchik, Dobritch
2082,Moara Veche,Balchik, Dobritch,Old Mill,Balchik, Dobritch
2083,Rezervatia Arheologica Yailata,1.5km Kamen Bryag, Dobritch,Archaeological Reserve Yailata,1.5km Kamen Bryag, Dobritch
2094,Memorialul Soldatii Rusi Osuar,Kavarna, Dobritch,Russian Soldiers Memorial Ossuary,Kavarna, Dobritch
1414,Biserica de lemn Sfântul Nicolae,Albulești, Mehedinți,Wooden Church of St. Nicholas,Albulești, Mehedinți
1415,Biserica Sfânta Parascheva,Arginești, Mehedinţi,Church of St. Paraskeva,Arginești, Mehedinţi
1416,Biserica Cuțuilor,Broșteni, Mehedinţi,Cuțuilor Church,Broșteni, Mehedinţi
1418,Biserica Sfânta Parascheva,Buicești, Mehedinţi,Church of St. Paraskeva,Buicești, Mehedinţi
1422,Mănăstirea Cerneți,Cerneți, Mehedinți,Cerneţi Monastery,Cerneți, Mehedinți
1423,Biserica Sfântul Nicolae,Cerneți, Mehedinţi,St. Nicholas Church,Cerneți, Mehedinţi
1427,Biserica Sfinții Voievozi,Corcova, Mehedinți,Holy Kings Church,Corcova, Mehedinți
1430,Biserica Sfinții Voievozi,Cujmir, Mehedinţi,Church Holy Kings,Cujmir, Mehedinţi
1442,Biserica Învierea Domnului,Drobeta-Turnu Severin, Mehedinţi,Resurrection Church,Drobeta-Turnu Severin, Mehedinţi
1447,Biserica Sfântul Gheorghe,Drobeta-Turnu Severin, Mehedinţi,St. George Church,Drobeta-Turnu Severin, Mehedinţi
1454,Biserica Adormirea Maicii Domnului,Drobeta Turnu Severin, Mehedinți,Church of the Assumption,Drobeta Turnu Severin, Mehedinți
1456,Parohia Romano-Catolică,Drobeta-Turnu Severin, Mehedinţi,Roman Catholic Parish,Drobeta-Turnu Severin, Mehedinţi
1457,Sinagoga Severin,Drobeta-Turnu Severin, Mehedinţi,Severin Synagogue,Drobeta-Turnu Severin, Mehedinţi
1462,Biserica Sfântul Ilie Tesviteanul,Drobeta-Turnu Severin, Mehedinţi,Church of St. Elijah Tishbite,Drobeta-Turnu Severin, Mehedinţi
1463,Muzeul Parohial,Eșelnița, Mehedinți,Parish Museum,Eșelnița, Mehedinți
1464,Biserica Sf. Calinic,Fântâna Domnească, Mehedinți,Church St. Calinic,Fântâna Domnească, Mehedinți
1465,Mănăstirea Gura Motrului,Gura Motrului, Mehedinți,Monastery Gura Motrului,Gura Motrului, Mehedinți
1466,Biserica Adormirea Maicii Domnului,Gura Văii, Mehedinţi,Assumption Church,Gura Văii, Mehedinţi
1467,Biserica Sfântul Gheorghe,Hinova, Mehedinți,St. George Church,Hinova, Mehedinți
1468,Mănăstirea Mraconia,Cazanele Dunării, Mehedinți,Mraconia Monastery,Cazanele Dunării, Mehedinți
1473,Biserica Sfântul Nicolae,Obârșia de Câmp, Mehedinţi,St. Nicholas Church,Obârșia de Câmp, Mehedinţi
1478,Biserica Sfântul Nicolae,Orșova, Mehedinți,St. Nicholas Church,Orșova, Mehedinți
1479,Biserica Romano-Catolică,Orșova, Mehedinţi,Roman Catholic Church,Orșova, Mehedinţi
1480,Biserica Grecescu,Drobeta Turnu Severin, Mehedinți,Grecescu Church,Drobeta Turnu Severin, Mehedinți
1481,Biserica Sfântul Andrei,Drobeta-Turnu Severin, Mehedinţi,Saint Andrew Church,Drobeta-Turnu Severin, Mehedinţi
1484,Mănăstirea Topolnița,Topolnița, Mehedinți,Topolniţa Monastery,Topolnița, Mehedinți
1486,Biserica Adormirea Maicii Domnului,Orșova, Mehedinţi,Assumption Church,Orșova, Mehedinţi
1487,Mănăstirea Sfânta Ana,Orșova, Mehedinți,Monastery of St. Anne,Orșova, Mehedinți
1492,Mănăstirea Strehaia,Strehaia, Mehedinți,Strehaia Monastery,Strehaia, Mehedinți
1493,Biserica Sfânta Parascheva,Strehaia, Mehedinţi,Church of St. Paraskeva,Strehaia, Mehedinţi
1494,Biserica Martirii Brâncovineni,Strehaia, Mehedinţi,Brancoveni Martyrs Church,Strehaia, Mehedinţi
1496,Mănăstirea Vodița,Vodița, Mehedinți,Vodita Monastery,Vodița, Mehedinți
1497,Ruinele Mănăstirii Vodița,Vodița, Mehedinţi,Vodiţa Monastery Ruins,Vodița, Mehedinţi
1498,Biserica de lemn Sfinții Apostoli,Brebina, Mehedinți,Wooden Church of the Holy Apostles,Brebina, Mehedinți
1499,Mănăstirea Baia de Aramă,Baia de Aramă, Mehedinți,Baia de Arama Monastery,Baia de Aramă, Mehedinți
1501,Biserica de lemn „Sfântul Nicolae”,Ponoarele, Mehedinți,Wooden Church „St. Nicholas”,Ponoarele, Mehedinți
1503,Biserica „Sf. Apostoli”,Comănești, Mehedinți,Church „St. Apostles”,Comănești, Mehedinți
1504,Biserica Sfântul Ștefan,Gornovița, Mehedinți,St. Stephen's Church,Gornovița, Mehedinți
1505,Biserica Sfântul Nicolae,Costești, Mehedinți,St. Nicholas Church,Costești, Mehedinți
1506,Mănăstirea Coşuştei,Crivelnic , Firizu, Mehedinți,Coşuştei Monastery,Crivelnic , Firizu, Mehedinți
1508,Mănăstirea Jiana,Jiana, Mehedinți,Jiana Monastery,Jiana, Mehedinți
1509,Biserica Pogorârea Sfântului Duh,Gârla Mare, Mehedinți,Pentecost Church,Gârla Mare, Mehedinți
1510,Biserica „Sfântul Nicolae”,Pătulele, Mehedinți,„Saint Nicholas” Church,Pătulele, Mehedinți
1511,Biserica Sfinții Apostoli Petru și Pavel,Viașu, Mehedinți,Saints Peter and Paul Church,Viașu, Mehedinți
1285,Biserica Sfinţii Voievozi,Amărăștii de Jos, Dolj,Church Holy Kings,Amărăștii de Jos, Dolj
1286,Biserica Sfantul Nicolae,Amărăștii de Jos, Dolj,St. Nicholas Church,Amărăștii de Jos, Dolj
1287,Biserica Adormirea Maicii Domnului,Apele Vii, Dolj,Assumption Church,Apele Vii, Dolj
1288,Biserica Adormirea Maicii Domnului,Băileşti, Dolj,Assumption Church,Băileşti, Dolj
1290,Biserica Sfantul Nicolae,Băileşti, Dolj,St. Nicholas Church,Băileşti, Dolj
1296,Mănăstirea Jițianu,Braniște, Dolj,Jițianu Monastery,Braniște, Dolj
1297,Biserica „Izvorul Tămăduirii”,Calafat, Dolj,„The Healing Spring” Church,Calafat, Dolj
1298,Biserica Sfântul Nicolae,Calafat, Dolj,St. Nicholas Church,Calafat, Dolj
1307,Biserica Adormirea Maicii Domnului,Calafat, Dolj,Assumption Church,Calafat, Dolj
1308,Mănăstirea Cârcea,Cârcea, Coşoveni, Dolj,Cârcea Monastery,Cârcea, Coşoveni, Dolj
1309,Biserica Intrarea Maicii Domnului în Biserică,Celaru, Dolj,Church of the Mother of God in the Church,Celaru, Dolj
1310,Biserica Sfântul Ioan Gura de Aur,Cerăt, Dolj,Church of St. John Chrysostom,Cerăt, Dolj
1314,Biserica Adormirea Maicii Domnului,Coțofenii, Dolj,Assumption Church,Coțofenii, Dolj
1321,Biserica Adormirea Maicii Domnului Mântuleasa,Craiova, Dolj,Assumption Church Mântuleasa,Craiova, Dolj
1330,Biserica Sf. Ilie,Craiova, Dolj,St. Elijah Church,Craiova, Dolj
1345,Ansamblul Toți Sfinții,Craiova, Dolj,All Saints Ensemble,Craiova, Dolj
1354,Biserica Sfânta Treime,Craiova, Dolj,Holy Trinity Church,Craiova, Dolj
1358,Biserica Sfantul Nicolae Dorobănția,Craiova, Dolj,St. Nicholas Church Dorobănția,Craiova, Dolj
1359,Biserica Sfantul Nicolae Brandusa,Craiova, Dolj,Brandusa Saint Nicholas Church,Craiova, Dolj
1362,Fosta Mănăstire Obedeanu,Craiova, Dolj,Former Monastery Obedeanu,Craiova, Dolj
1372,Biserica Sfinții Arhangheli Mihail și Gavriil,Craiova, Dolj,Church of the Holy Archangels Michael and Gabriel,Craiova, Dolj
1380,Biserica Sfântul Dumitru,Craiova, Dolj,Saint Demetrius Church,Craiova, Dolj
1383,Biserica Sfantul Gheorghe cel Nou,Craiova, Dolj,Church of St. George the New,Craiova, Dolj
